city,state,state_name,county,lat,lng,population,density,timezone,zips
"East Los Angeles","CA","California","Los Angeles","34.0326","-118.1691","114617","5937.6","America/Los_Angeles","90063,90022,90023"
"Carlsbad","CA","California","San Diego","33.1246","-117.2834","114500","1169.2","America/Los_Angeles","92008,92009,92011,92010,92013,92018"
"Elgin","IL","Illinois","Kane","42.0383","-88.324","114106","1154.1","America/Chicago","60120,60123,60124,60121,60122"
"Waterloo","IA","Iowa","Black Hawk","42.4918","-92.3522","113832","419.6","America/Chicago","50707,50703,50702,50701"
"Leominster","MA","Massachusetts","Worcester","42.5209","-71.7717","113462","585.4","America/New_York","1453"
"Bend","OR","Oregon","Deschutes","44.0563","-121.3095","113454","1114.1","America/Los_Angeles","97702,97703,97701,97708"
"Sioux City","IA","Iowa","Woodbury","42.4959","-96.3901","112823","559.1","America/Chicago","51106,51104,51105,51103,51101,51108,51109,51111"
"Gresham","OR","Oregon","Multnomah","45.5021","-122.4413","112818","1848.5","America/Los_Angeles","97030,97233,97230,97080"
"Longview","TX","Texas","Gregg","32.5193","-94.7622","112687","568.3","America/Chicago","75602,75601,75605,75604,75606,75608,75615,75660"
"Pompano Beach","FL","Florida","Broward","26.2428","-80.1312","112212","1800.3","America/New_York","33060,33062,33064,33069,33061,33074,33097"
"Downey","CA","California","Los Angeles","33.9379","-118.1311","111793","3478.3","America/Los_Angeles","90242,90240,90241,90239"
"Murrieta","CA","California","Riverside","33.5719","-117.1909","111621","1217.5","America/Los_Angeles","92563,92562"
"Idaho Falls","ID","Idaho","Bonneville","43.4871","-112.0362","111295","948.1","America/Boise","83401,83402,83404,83415"
"Miami Gardens","FL","Florida","Miami-Dade","25.9433","-80.2426","111264","2324.7","America/New_York","33014,33169,33055,33056,33054,33269"
"Everett","WA","Washington","Snohomish","47.9525","-122.1669","111083","1276.4","America/Los_Angeles","98207,98204,98203,98201,98208,98206,98213"
"Holland","MI","Michigan","Ottawa","42.7677","-86.0984","110905","781.7","America/Detroit","49423,49422"
"Costa Mesa","CA","California","Orange","33.6667","-117.9135","110538","2700.2","America/Los_Angeles","92626,92627,92628"
"Temecula","CA","California","Riverside","33.4928","-117.1315","110404","1146.6","America/Los_Angeles","92590,92591,92592,92589,92593"
"Jacksonville","NC","North Carolina","Onslow","34.7289","-77.3941","109958","581.6","America/New_York","28546,28547,28544,28542,28540,28543,28541,28545"
"San Buenaventura","CA","California","Ventura","34.2741","-119.2314","109900","1939.9","America/Los_Angeles","93004,93001,93003,93002,93005,93006,93007,93009"
"Sugar Land","TX","Texas","Fort Bend","29.5935","-95.6358","109735","1047","America/Chicago","77498,77478,77479,77487,77496"
"Chico","CA","California","Butte","39.7578","-121.8161","109411","1146.2","America/Los_Angeles","95973,95926,95928,95929,95927,95976"
"South Fulton","GA","Georgia","Fulton","33.6273","-84.58","109157","454","America/New_York","30336,30331,30272,30349,30291,30296,30213,30378,31131,31136"
"Sparks","NV","Nevada","Washoe","39.5736","-119.7161","109106","1154.3","America/Los_Angeles","89436,89434,89431,89432,89435"
"Eau Claire","WI","Wisconsin","Eau Claire","44.8197","-91.4948","108477","779.1","America/Chicago","54703,54701,54702"
"Auburn","AL","Alabama","Lee","32.6087","-85.4903","108327","482.9","America/Chicago","36849,36832,36830,36831"
"Dearborn","MI","Michigan","Wayne","42.3127","-83.213","107846","1717.3","America/Detroit","48128,48120,48126,48124,48121,48123"
"Riverview","FL","Florida","Hillsborough","27.8227","-82.3023","107776","901.1","America/New_York","33579,33578,33569,33568"
"Allen","TX","Texas","Collin","33.1088","-96.6735","107684","1574.8","America/Chicago","75002,75013"
